AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2018,2019,2,Rex sole,W,n/a,"2,951","2,951",,1,Rex soleW
2018,2019,2,Rex sole,C,n/a,"8,357","8,357",,1,Rex soleC
2018,2019,2,Rex sole,WYK,n/a,"1,657","1,657",,1,Rex soleWYK
2018,2019,2,Rex sole,SEO,n/a,"1,727","1,727",,1,Rex soleSEO
2018,2019,2,Rex sole,Total,"17,889","14,692","14,692",,1,Rex soleTotal
2018,2019,2,Arrowtooth flounder,W,n/a,"35,994","14,500",,1,Arrowtooth flounderW
2018,2019,2,Arrowtooth flounder,C,n/a,"70,995","70,995",,1,Arrowtooth flounderC
2018,2019,2,Arrowtooth flounder,WYK,n/a,"15,911","6,900",,1,Arrowtooth flounderWYK
2018,2019,2,Arrowtooth flounder,SEO,,"22,941","6,900",,1,Arrowtooth flounderSEO
2018,2019,2,Arrowtooth flounder,Total,"174,598","145,841","99,295",,1,Arrowtooth flounderTotal
2018,2019,2,Flathead sole,W,n/a,"13,234","8,650",,1,Flathead soleW
2018,2019,2,Flathead sole,C,n/a,"20,238","15,400",,1,Flathead soleC
2018,2019,2,Flathead sole,WYK,n/a,"1,932","1,932",,1,Flathead soleWYK
2018,2019,2,Flathead sole,SEO,n/a,406,406,,1,Flathead soleSEO
2018,2019,2,Flathead sole,Total,"44,865","21,109","15,400",,1,Flathead soleTotal
2018,2019,2,Pacific ocean perch,W,n/a,"3,227","3,227",,1,Pacific ocean perchW
2018,2019,2,Pacific ocean perch,C,n/a,"19,646","19,646",,1,Pacific ocean perchC
2018,2019,2,Pacific ocean perch,WYK,n/a,"3,296","3,296",,1,Pacific ocean perchWYK
2018,2019,2,Pacific ocean perch,W/C/WYK subtotal,"31,113","26,169","26,169",,1,Pacific ocean perchWCWYKsubtotal
2018,2019,2,Pacific ocean perch,SEO,"2,838","2,386","2,386",,1,Pacific ocean perchSEO
2018,2019,2,Pacific ocean perch,Total,"33,951","28,555","28,555",,1,Pacific ocean perchTotal
2018,2019,2,Northern rockfish,W,n/a,"1,190","1,190",,1,Northern rockfishW
2018,2019,2,Northern rockfish,C,n/a,"3,338","3,338",,1,Northern rockfishC
2018,2019,2,Northern rockfish,E,n/a,1,,,1,Northern rockfishE
2018,2019,2,Northern rockfish,Total,"5,402","4,529","4,528",,1,Northern rockfishTotal
2018,2019,2,Shortraker rockfish,W,n/a,44,44,,1,Shortraker rockfishW
2018,2019,2,Shortraker rockfish,C,n/a,305,305,,1,Shortraker rockfishC
2018,2019,2,Shortraker rockfish,E,n/a,514,514,,1,Shortraker rockfishE
2018,2019,2,Shortraker rockfish,Total,"1,151",863,863,,1,Shortraker rockfishTotal
2018,2019,2,Dusky rockfish,W,n/a,781,781,,1,Dusky rockfishW
2018,2019,2,Dusky rockfish,C,n/a,"2,764","2,764",,1,Dusky rockfishC
2018,2019,2,Dusky rockfish,WYK,n/a,95,95,,1,Dusky rockfishWYK
2018,2019,2,Dusky rockfish,SEO,n/a,60,60,,1,Dusky rockfishSEO
2018,2019,2,Dusky rockfish,Total,"4,521","3,700","3,700",,1,Dusky rockfishTotal
2018,2019,2,Rougheye and Blackspotted rockfish,W,n/a,174,174,,1,Rougheye and Blackspotted rockfishW
2018,2019,2,Rougheye and Blackspotted rockfish,C,n/a,550,550,,1,Rougheye and Blackspotted rockfishC
2018,2019,2,Rougheye and Blackspotted rockfish,E,n/a,704,704,,1,Rougheye and Blackspotted rockfishE
2018,2019,2,Rougheye and Blackspotted rockfish,Total,"1,715","1,428","1,428",,1,Rougheye and Blackspotted rockfishTotal
2018,2019,2,Demersal shelf rockfish,SEO,411,261,261,,1,Demersal shelf rockfishSEO
2018,2019,2,Thornyhead rockfish,W,n/a,326,326,,1,Thornyhead rockfishW
2018,2019,2,Thornyhead rockfish,C,n/a,911,911,,1,Thornyhead rockfishC
2018,2019,2,Thornyhead rockfish,E,n/a,779,779,,1,Thornyhead rockfishE
2018,2019,2,Thornyhead rockfish,Total,"2,688","2,016","2,016",,1,Thornyhead rockfishTotal
2018,2019,2,Other rockfish,W and C,n/a,"1,737","1,737",,1,Other rockfishWandC
2018,2019,2,Other rockfish,WYK,n/a,368,368,,1,Other rockfishWYK
2018,2019,2,Other rockfish,SEO,n/a,"3,489","3,489",,1,Other rockfishSEO
2018,2019,2,Other rockfish,Total,"7,356","5,594","5,594",,1,Other rockfishTotal
2018,2019,2,Atka mackerel,GW,"6,200","4,700","3,000",,1,Atka mackerelGW
2018,2019,2,Big skate,W,n/a,504,504,,1,Big skateW
2018,2019,2,Big skate,C,n/a,"1,774","1,774",,1,Big skateC
2018,2019,2,Big skate,E,n/a,570,570,,1,Big skateE
2018,2019,2,Big skate,Total,"3,797","2,848","2,848",,1,Big skateTotal
2018,2019,2,Longnose skate,W,n/a,149,149,,1,Longnose skateW
2018,2019,2,Longnose skate,C,n/a,"2,804","2,804",,1,Longnose skateC
2018,2019,2,Longnose skate,E,n/a,619,619,,1,Longnose skateE
2018,2019,2,Longnose skate,Total,"4,763","3,572","3,572",,1,Longnose skateTotal
2018,2019,2,Other skates,GW,"1,845","1,384","1,384",,1,Other skatesGW
2018,2019,2,Sculpins,GW,"6,958","5,301","5,301",24.0,1,SculpinsGW
2018,2019,2,Sharks,GW,"10,913","8,184","8,184",21.0,1,SharksGW
2018,2019,2,Octopus,GW,"1,300",975,975,22.0,1,OctopusGW
2018,2019,2,Total,GOA,"664,889","509,507","430,569",23.0,1,TotalGOA
2018,2020,2,Pollock,Shumagin (610),n/a,"19,939","19,939",1.0,1,PollockShumagin610
2018,2020,2,Pollock,Chirikof (620),n/a,"57,279","57,279",1.0,1,PollockChirikof620
2018,2020,2,Pollock,Kodiak (630),n/a,"24,345","24,345",1.0,1,PollockKodiak630
2018,2020,2,Pollock,WYK (640),n/a,"4,607","4,607",1.0,1,PollockWYK640
2018,2020,2,Pollock,W/C/WYK (subtotal),"148,968","108,892","106,170",1.0,1,PollockWCWYKsubtotal
2018,2020,2,Pollock,SEO (650),"11,697","8,773","8,773",1.0,1,PollockSEO650
2018,2020,2,Pollock,Total,"160,665","117,665","114,943",1.0,1,PollockTotal
