AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC
2010,2010,1,Arrowtooth Flounder,W,,"34,773","8,000"
2010,2010,1,Arrowtooth Flounder,WYK,,"22,835","2,500"
2010,2010,1,Arrowtooth Flounder,,,,
2010,2010,1,Atka Mackerel,GW,"6,200","4,700","2,000"
2010,2010,1,Atka Mackerel,,,,
2010,2010,1,Big Skates,C,,"2,049","2,049"
2010,2010,1,Big Skates,E,,681,681
2010,2010,1,Big Skates,Total,"4,438","3,328","3,328"
2010,2010,1,Big Skates,W,,598,598
2010,2010,1,Big Skates,,,,
2010,2010,1,Deep-water Flatfish,C,,"2,865","2,865"
2010,2010,1,Deep-water Flatfish,SEO,,760,760
2010,2010,1,Deep-water Flatfish,Total,"7,680","6,190","6,190"
2010,2010,1,Deep-water Flatfish,W,,521,521
2010,2010,1,Deep-water Flatfish,WYK,,"2,044","2,044"
2010,2010,1,Deep-water Flatfish,,,,
2010,2010,1,Demersal Shelf Rockfish,SEO,472,295,295
2010,2010,1,Demersal Shelf Rockfish,,,,
2010,2010,1,Flathead Sole,610/620,,,
2010,2010,1,Flathead Sole,C,,"27,124","5,000"
2010,2010,1,Flathead Sole,SEO,,"1,451","1,451"
2010,2010,1,Flathead Sole,Total,"59,295","47,422","10,411"
2010,2010,1,Flathead Sole,W,,"16,857","2,000"
2010,2010,1,Flathead Sole,WYK,,"1,990","1,990"
2010,2010,1,Longnose Skates,C,,"2,009","2,009"
2010,2010,1,Longnose Skates,E,,762,762
2010,2010,1,Longnose Skates,Total,"3,803","2,852","2,852"
2010,2010,1,Longnose Skates,W,,81,81
2010,2010,1,Longnose Skates,,,,
2010,2010,1,Northern Rockfish,C,,"2,395","2,395"
2010,2010,1,Northern Rockfish,E,,0,0
2010,2010,1,Northern Rockfish,Total,"6,070","5,098","5,098"
2010,2010,1,Northern Rockfish,W,,"2,703","2,703"
2010,2010,1,Northern Rockfish,,,,
2010,2010,1,Other Rockfish,C,,507,507
2010,2010,1,Other Rockfish,SEO,,"2,757",200
2010,2010,1,Other Rockfish,Total,"4,881","3,749","1,192"
2010,2010,1,Other Rockfish,W,,212,212
2010,2010,1,Other Rockfish,WYK,,273,273
2010,2010,1,Other Rockfish,,,,
2010,2010,1,Other Skates,GW,"2,791","2,093","2,093"
2010,2010,1,Other Skates,,,,
2010,2010,1,Other Species,GW,"9,432","7,075","4,500"
2010,2010,1,Other Species,,,,
2010,2010,1,Pacific Ocean Perch,C,"12,361","10,737","10,737"
2010,2010,1,Pacific Ocean Perch,E (WYK and SEO subtotal),"4,550","3,952","3,952"
2010,2010,1,Pacific Ocean Perch,SEO,,"1,948","1,948"
2010,2010,1,Pacific Ocean Perch,Total,"20,243","17,584","17,584"
2010,2010,1,Pacific Ocean Perch,W,"3,332","2,895","2,895"
2010,2010,1,Pacific Ocean Perch,WYK,,"2,004","2,004"
2010,2010,1,Pacific Ocean Perch,,,,
2010,2010,1,Pacific cod,C,,"49,042","36,782"
2010,2010,1,Pacific cod,E,,"2,373","2,017"
2010,2010,1,Pacific cod,Total,"94,100","79,100","59,563"
2010,2010,1,Pacific cod,W,,"27,685","20,764"
2010,2010,1,Pacific cod,,,,
2010,2010,1,Pelagic Shelf Rockfish,C,,"3,249","3,249"
2010,2010,1,Pelagic Shelf Rockfish,SEO,,726,726
2010,2010,1,Pelagic Shelf Rockfish,Total,"6,142","5,059","5,059"
2010,2010,1,Pelagic Shelf Rockfish,W,,650,650
2010,2010,1,Pelagic Shelf Rockfish,WYK,,434,434
2010,2010,1,Pelagic Shelf Rockfish,,,,
2010,2010,1,Pollock,Chirikof (620),,"28,095","28,095"
2010,2010,1,Pollock,Kodiak (630),,"19,118","19,118"
2010,2010,1,Pollock,SEO (650),"12,326","9,245","9,245"
2010,2010,1,Pollock,Shumagin (610),,"26,256","26,256"
2010,2010,1,Pollock,Total,"115,536","84,745","84,745"
2010,2010,1,Pollock,W/C/WYK (subtotal),"103,210","75,500","75,500"
2010,2010,1,Pollock,WYK (640),,"2,031","2,031"
2010,2010,1,Pollock,,,,
2010,2010,1,Rex Sole,C,,"6,403","6,403"
2010,2010,1,Rex Sole,SEO,,900,900
2010,2010,1,Rex Sole,Total,"12,714","9,729","9,729"
2010,2010,1,Rex Sole,W,,"1,543","1,543"
2010,2010,1,Rex Sole,WYK,,883,883
2010,2010,1,Rex Sole,,,,
2010,2010,1,Sablefish,610/620,,,
2010,2010,1,Sablefish,C,,"4,510","4,510"
