AssmentYr,ProjYear,lag,Area,Species,ABC,OFL,TAC,OY,Order
1995,1995,1,Total,Rex Sole,11210,13091,9690,1,6
1995,1995,1,W,Rex Sole,1350,,800,1,6
1995,1995,1,C,Arrowtooth Flounder,141290,,25000,1,7
1995,1995,1,E,Arrowtooth Flounder,28440,,5000,1,7
1995,1995,1,Total,Arrowtooth Flounder,198130,231416,35000,1,7
1995,1995,1,W,Arrowtooth Flounder,28400,,5000,1,7
1995,1995,1,C,Flathead Sole,17170,,5000,1,8
1995,1995,1,E,Flathead Sole,2740,,2740,1,8
1995,1995,1,Total,Flathead Sole,28790,31557,9740,1,8
1995,1995,1,W,Flathead Sole,8880,,2000,1,8
1995,1995,1,C,Pacific Ocean Perch,3130,3951,2702,1,9
1995,1995,1,E,Pacific Ocean Perch,2220,2799,1914,1,9
1995,1995,1,Total,Pacific Ocean Perch,6530,8232,5630,1,9
1995,1995,1,W,Pacific Ocean Perch,1180,1482,1014,1,9
1995,1995,1,C,Northern Rockfish,4610,,4610,1,10
1995,1995,1,E,Northern Rockfish,20,,20,1,10
1995,1995,1,Total,Northern Rockfish,5270,9926,5270,1,10
1995,1995,1,W,Northern Rockfish,640,,640,1,10
1995,1995,1,SEO,Demersal Shelf Rockfish,580,1044,580,1,14
1995,1995,1,Total (GW),Thornyhead Rockfish,1900,2660,1900,1,15
1995,1995,1,C,Other Rockfish,1170,,370,1,16
1995,1995,1,E,Other Rockfish,5760,,1810,1,16
1995,1995,1,Total,Other Rockfish,7110,8395,2235,1,16
1995,1995,1,W,Other Rockfish,180,,55,1,16
1995,1995,1,C,Atka Mackerel,,,925,1,17
1995,1995,1,E,Atka Mackerel,,,5,1,17
1995,1995,1,Total (GW),Atka Mackerel,3240,11700,3240,1,17
1995,1995,1,W,Atka Mackerel,,,2310,1,17
1995,1995,1,,Total,492780,839082,279463,1,23
1995,1995,1,C,Pelagic Shelf Rockfish,3200,,3200,1,26
1995,1995,1,E,Pelagic Shelf Rockfish,1080,,1080,1,26
1995,1995,1,Total,Pelagic Shelf Rockfish,5190,8704,5190,1,26
1995,1995,1,W,Pelagic Shelf Rockfish,910,,910,1,26
1995,1995,1,Total (GW),Other Species,,,13308,1,27
1995,1995,1,C,Shortraker/Rougheye Rockfish,1210,,1210,1,28
1995,1995,1,E,Shortraker/Rougheye Rockfish,530,,530,1,28
1995,1995,1,Total,Shortraker/Rougheye Rockfish,1910,2925,1910,1,28
1995,1995,1,W,Shortraker/Rougheye Rockfish,170,,170,1,28
1996,1996,1,610/620/630 (subtotal),Pollock,52000,,52000,1,1
1996,1996,1,Chirikof (620),Pollock,12840,82000,12840,1,1
1996,1996,1,E,Pollock,2810,4400,2810,1,1
1996,1996,1,Kodiak (630),Pollock,13680,,13680,1,1
1996,1996,1,Shumagin (610),Pollock,25480,,25480,1,1
1996,1996,1,Total,Pollock,54810,86400,54810,1,1
1996,1996,1,C,Pacific cod,42900,,42900,1,2
1996,1996,1,E,Pacific cod,3250,,3250,1,2
1996,1996,1,Total,Pacific cod,65000,88000,65000,1,2
